"modelType","feature","OR","X","DF"
"kafka _BASE_PRODUCT_PROCESS","LOC",0.26062227170955,499.18727451822,1
"kafka _BASE_PRODUCT_PROCESS","pre_bug",0.63277199776521,244.572350171832,1
"kafka _BASE_PRODUCT_PROCESS","codeChurn",-0.0351045441349738,16.9565565606281,1
"kafka _BASE_PRODUCT_PROCESS","fileChurn",0.64474464507996,39.8078407791163,1
"kafka _BASE_PRODUCT_PROCESS","ts_coupling_prod",0.425938006080924,38.3179215409027,1
"kafka _BASE_PRODUCT_PROCESS","tt_coupling_prod",0.280524651697055,9.54531132889815,1
"kafka _BASE_PRODUCT_PROCESS","Exception.Catching.Throwing",0.171299088290961,23.5464936057597,1
"kafka _BASE_PRODUCT_PROCESS","Mystery.Guest",0.67497732496132,13.2183618747713,1
"kafka _BASE_PRODUCT_PROCESS","Redundant.Assertion",-1.58877422597428,5.47973674894138,1
"kafka _BASE_PRODUCT_PROCESS","Lazy.Test",-0.278901986144835,12.0741379673473,1
"kafka _BASE_PRODUCT_PROCESS","Duplicate.Assert",0.295600345388824,8.36488752485411,1
"kafka _BASE_PRODUCT_PROCESS","Unknown.Test",-0.0806287575768153,5.09555109809389,1
"kafka _BASE_PRODUCT_PROCESS","Magic.Number.Test",0.271184169085059,7.4122653503423,1
"kafka _BASE_PRODUCT_PROCESS","Exception.Catching.Throwing_added",0.259918383866564,4.8680702437905,1
"kafka _BASE_PRODUCT_PROCESS","Exception.Catching.Throwing_removed",-0.149622784767479,3.84695942347025,1
"kafka _BASE_PRODUCT_PROCESS","Print.Statement_removed",-1.0990391410051,4.46371935816342,1
