"modelType","feature","OR","X","DF"
"camel _BASE_PRODUCT","LOC",0.721487200078223,211.258052625926,1
"camel _BASE_PRODUCT","pre_bug",-0.128935041018683,13.1672802469611,1
"camel _BASE_PRODUCT","codeChurn",0.199664278078109,21.5475727839566,1
"camel _BASE_PRODUCT","ts_coupling_prod",-0.224820890321434,30.783547923108,1
"camel _BASE_PRODUCT","Assertion.Roulette",0.205918509225903,13.4463451147326,1
"camel _BASE_PRODUCT","Conditional.Test.Logic",-0.542147618582324,5.35280988804652,1
"camel _BASE_PRODUCT","General.Fixture",-0.401541956915639,7.29859762317301,1
"camel _BASE_PRODUCT","Mystery.Guest",0.209483509293243,12.9925851751618,1
"camel _BASE_PRODUCT","Redundant.Assertion",1.23552858969176,7.13080221164273,1
"camel _BASE_PRODUCT","Duplicate.Assert",0.403888598880329,6.95470903492333,1
"camel _BASE_PRODUCT","Resource.Optimism",0.631294177094705,5.0173599904806,1
