"modelType","feature","OR","X","DF"
"cxf _BASE_PRODUCT_PROCESS","LOC",0.242258091545514,154.052074309961,1
"cxf _BASE_PRODUCT_PROCESS","pre_bug",0.763336010428006,38.8307441825345,1
"cxf _BASE_PRODUCT_PROCESS","deletedLine",-0.0877965025948804,7.64619398677087,1
"cxf _BASE_PRODUCT_PROCESS","fileChurn",0.747824839796827,8.10217548790888,1
"cxf _BASE_PRODUCT_PROCESS","ts_coupling_prod",-0.318497841506565,4.00772947873384,1
"cxf _BASE_PRODUCT_PROCESS","tt_coupling_prod",0.468349705202752,4.93446269132528,1
"cxf _BASE_PRODUCT_PROCESS","Assertion.Roulette",0.20600268624797,20.8028897472709,1
"cxf _BASE_PRODUCT_PROCESS","Constructor.Initialization",-0.787292292425969,5.38876663411611,1
"cxf _BASE_PRODUCT_PROCESS","Exception.Catching.Throwing",0.197613455606508,8.96890926171136,1
"cxf _BASE_PRODUCT_PROCESS","Sensitive.Equality_added",0.986698041560872,6.86481219223288,1
"cxf _BASE_PRODUCT_PROCESS","Exception.Catching.Throwing_removed",-2.04617688054645,5.66828504327304,1
"cxf _BASE_PRODUCT_PROCESS","Eager.Test_removed",2.88801856521033,6.27507418712412,1
"cxf _BASE_PRODUCT_PROCESS","IgnoredTest_removed",1.27315408511435,4.27522061657055,1
