"","1","1.1","1.5"
"Exception.Catching.Throwing",0.298733809369458,0.302307696352879,0.316841435791874
"Mystery.Guest",0.298733809369458,0.299360932893808,0.30187694564331
"Redundant.Assertion",0.298733809369458,0.298339463756127,0.296765078765576
"Lazy.Test",0.298733809369458,0.289768624105575,0.255554936221119
"Duplicate.Assert",0.298733809369458,0.30040430760538,0.307139192763132
"Unknown.Test",0.298733809369458,0.298174964148896,0.295945610928872
"Magic.Number.Test",0.298733809369458,0.302014302849684,0.315337478268861
"Exception.Catching.Throwing_removed",0.298733809369458,0.298630689509109,0.298218414559895
"Print.Statement_removed",0.298733809369458,0.298410757533648,0.297120560663036
"Exception.Catching.Throwing_added",0.298733809369458,0.299019954143674,0.300166102900623
