"","1","1.1","1.5"
"Assertion.Roulette",0.0573408342994264,0.0555936529620209,0.0490943751988894
"Constructor.Initialization",0.0573408342994264,0.0606029390894251,0.0754590525231439
"Lazy.Test",0.0573408342994264,0.0551715010939027,0.0472447109142376
"Unknown.Test",0.0573408342994264,0.0564692653632862,0.0531061104071712
"Resource.Optimism",0.0573408342994264,0.0580350385436011,0.0608914329237827
"General.Fixture_removed",0.0573408342994264,0.0573045013269043,0.0571593855570118
"Sleepy.Test_removed",0.0573408342994264,0.0573840266369622,0.0575571017019282
"Exception.Catching.Throwing_added",0.0573408342994264,0.0573444684950134,0.0573590074406578
"Lazy.Test_added",0.0573408342994264,0.0570642777600338,0.0559705374384441
"Unknown.Test_added",0.0573408342994264,0.0569988998929993,0.0556502342219855
"Magic.Number.Test_added",0.0573408342994264,0.0573342353443955,0.057307846656038
